
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.035501,-0.1486,0.5115,0.8071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.051275,-0.1486,0.5115,0.8071,0.0000,0.0000,0.0000,0.1477,-0.0023,0.1411,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.067517,-0.1609,0.4673,0.8289,0.0000,0.0000,0.0000,0.1477,-0.0023,0.1411,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.076514,-0.1609,0.4673,0.8289,0.0000,0.0000,0.0000,0.2107,0.0371,0.1532,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.104851,-0.1587,0.4596,0.8004,0.0000,0.0000,0.0000,0.2107,0.0371,0.1532,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.113370,-0.1587,0.4596,0.8004,0.0000,0.0000,0.0000,0.1206,0.1463,0.2344,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.141073,-0.1934,0.4795,0.7824,0.0000,0.0000,0.0000,0.1206,0.1463,0.2344,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.149317,-0.1934,0.4795,0.7824,0.0000,0.0000,0.0000,-0.1585,-0.0350,0.2468,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.176991,-0.1568,0.4742,0.8223,0.0000,0.0000,0.0000,-0.1585,-0.0350,0.2468,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.185637,-0.1568,0.4742,0.8223,0.0000,0.0000,0.0000,-0.4557,-0.1718,0.1915,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.213443,-0.1127,0.4559,0.8672,0.0000,0.0000,0.0000,-0.4557,-0.1718,0.1915,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.222135,-0.1127,0.4559,0.8672,0.0000,0.0000,0.0000,-0.5269,-0.1301,0.1530,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.250321,-0.0505,0.4438,0.8600,0.0000,0.0000,0.0000,-0.5269,-0.1301,0.1530,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.259061,-0.0505,0.4438,0.8600,0.0000,0.0000,0.0000,-0.4852,-0.1497,0.1089,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.287157,-0.0171,0.4282,0.8647,0.0000,0.0000,0.0000,-0.4852,-0.1497,0.1089,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.287629,-0.0171,0.4282,0.8647,1.1074,-0.6159,0.0209,-0.4852,-0.1497,0.1089,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.295199,-0.0171,0.4282,0.8647,1.1074,-0.6159,0.0209,-0.6464,-0.1167,-0.0021,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.323805,-0.0566,0.4368,0.8228,1.1074,-0.6159,0.0209,-0.6464,-0.1167,-0.0021,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.324323,-0.0566,0.4368,0.8228,0.6738,-0.3068,-0.5204,-0.6464,-0.1167,-0.0021,0.0000,0.0000,0.0000,39.63298464,-86.84010342,0.00000000,
0.324584,-0.0566,0.4368,0.8228,0.6738,-0.3068,-0.5204,-0.6464,-0.1167,-0.0021,332.5078,-29.0252,-6.8030,39.63298464,-86.84010342,0.00000000,
0.333246,-0.0566,0.4368,0.8228,0.6738,-0.3068,-0.5204,-0.7471,-0.3856,-0.0765,332.5078,-29.0252,-6.8030,39.63298464,-86.84010342,0.00000000,
0.359938,-0.0063,0.3725,0.8982,0.6738,-0.3068,-0.5204,-0.7471,-0.3856,-0.0765,332.5078,-29.0252,-6.8030,39.63298464,-86.84010342,0.00000000,
0.360466,-0.0063,0.3725,0.8982,0.9784,-0.6670,0.0550,-0.7471,-0.3856,-0.0765,332.5078,-29.0252,-6.8030,39.63298464,-86.84010342,0.00000000,
0.360728,-0.0063,0.3725,0.8982,0.9784,-0.6670,0.0550,-0.7471,-0.3856,-0.0765,333.3598,-27.1753,-5.7030,39.63298464,-86.84010342,0.00000000,
0.368118,-0.0063,0.3725,0.8982,0.9784,-0.6670,0.0550,-0.9403,-0.7013,-0.0852,333.3598,-27.1753,-5.7030,39.63298464,-86.84010342,0.00000000,
0.395957,0.0530,0.3284,0.9970,0.9784,-0.6670,0.0550,-0.9403,-0.7013,-0.0852,333.3598,-27.1753,-5.7030,39.63298464,-86.84010342,0.00000000,
0.396466,0.0530,0.3284,0.9970,1.3773,-0.7495,0.8400,-0.9403,-0.7013,-0.0852,333.3598,-27.1753,-5.7030,39.63298464,-86.84010342,0.00000000,
0.396752,0.0530,0.3284,0.9970,1.3773,-0.7495,0.8400,-0.9403,-0.7013,-0.0852,333.9109,-24.8659,-4.6447,39.63298464,-86.84010342,0.00000000,
0.405003,0.0530,0.3284,0.9970,1.3773,-0.7495,0.8400,-1.0869,-0.4447,-0.0119,333.9109,-24.8659,-4.6447,39.63298464,-86.84010342,0.00000000,
0.433400,0.0143,0.1946,1.1177,1.3773,-0.7495,0.8400,-1.0869,-0.4447,-0.0119,333.9109,-24.8659,-4.6447,39.63298464,-86.84010342,0.00000000,
0.434026,0.0143,0.1946,1.1177,0.8762,-1.8194,1.9092,-1.0869,-0.4447,-0.0119,333.9109,-24.8659,-4.6447,39.63298464,-86.84010342,0.00000000,
0.434348,0.0143,0.1946,1.1177,0.8762,-1.8194,1.9092,-1.0869,-0.4447,-0.0119,334.3104,-23.3040,-3.9325,39.63298464,-86.84010342,0.00000000,
0.441442,0.0143,0.1946,1.1177,0.8762,-1.8194,1.9092,-0.1978,-0.3923,-0.0504,334.3104,-23.3040,-3.9325,39.63298464,-86.84010342,0.00000000,
0.469083,-0.0355,0.3252,0.9324,0.8762,-1.8194,1.9092,-0.1978,-0.3923,-0.0504,334.3104,-23.3040,-3.9325,39.63298464,-86.84010342,0.00000000,
0.469662,-0.0355,0.3252,0.9324,0.3395,-0.6581,0.1389,-0.1978,-0.3923,-0.0504,334.3104,-23.3040,-3.9325,39.63298464,-86.84010342,0.00000000,
0.470011,-0.0355,0.3252,0.9324,0.3395,-0.6581,0.1389,-0.1978,-0.3923,-0.0504,335.1101,-24.0499,-3.6647,39.63298464,-86.84010342,0.00000000,
0.478192,-0.0355,0.3252,0.9324,0.3395,-0.6581,0.1389,0.2602,-0.1837,-0.5402,335.1101,-24.0499,-3.6647,39.63298464,-86.84010342,0.00000000,
0.506136,-0.0638,0.3134,0.8227,0.3395,-0.6581,0.1389,0.2602,-0.1837,-0.5402,335.1101,-24.0499,-3.6647,39.63298464,-86.84010342,0.00000000,
0.506833,-0.0638,0.3134,0.8227,-0.0169,-0.7878,-0.9361,0.2602,-0.1837,-0.5402,335.1101,-24.0499,-3.6647,39.63298464,-86.84010342,0.00000000,
0.507172,-0.0638,0.3134,0.8227,-0.0169,-0.7878,-0.9361,0.2602,-0.1837,-0.5402,336.8095,-24.1384,-3.2335,39.63298464,-86.84010342,0.00000000,
0.514117,-0.0638,0.3134,0.8227,-0.0169,-0.7878,-0.9361,0.1077,-0.8460,-0.5930,336.8095,-24.1384,-3.2335,39.63298464,-86.84010342,0.00000000,
0.542432,-0.1742,0.2418,0.8366,-0.0169,-0.7878,-0.9361,0.1077,-0.8460,-0.5930,336.8095,-24.1384,-3.2335,39.63298464,-86.84010342,0.00000000,
0.543096,-0.1742,0.2418,0.8366,-1.3361,-1.5028,-0.8065,0.1077,-0.8460,-0.5930,336.8095,-24.1384,-3.2335,39.63298464,-86.84010342,0.00000000,
0.543439,-0.1742,0.2418,0.8366,-1.3361,-1.5028,-0.8065,0.1077,-0.8460,-0.5930,338.6257,-24.2049,-1.8692,39.63298464,-86.84010342,0.00000000,
0.550907,-0.1742,0.2418,0.8366,-1.3361,-1.5028,-0.8065,-0.1713,-0.6926,-0.4745,338.6257,-24.2049,-1.8692,39.63298464,-86.84010342,0.00000000,
0.579196,-0.3050,0.4782,0.7812,-1.3361,-1.5028,-0.8065,-0.1713,-0.6926,-0.4745,338.6257,-24.2049,-1.8692,39.63298464,-86.84010342,0.00000000,
0.579911,-0.3050,0.4782,0.7812,-2.7238,1.1431,-1.4881,-0.1713,-0.6926,-0.4745,338.6257,-24.2049,-1.8692,39.63298464,-86.84010342,0.00000000,
0.580369,-0.3050,0.4782,0.7812,-2.7238,1.1431,-1.4881,-0.1713,-0.6926,-0.4745,340.0017,-22.1205,-1.2715,39.63298464,-86.84010342,0.00000000,
0.587673,-0.3050,0.4782,0.7812,-2.7238,1.1431,-1.4881,-1.6483,-0.9756,-0.6732,340.0017,-22.1205,-1.2715,39.63298464,-86.84010342,0.00000000,
0.616190,-0.1433,0.2671,1.0616,-2.7238,1.1431,-1.4881,-1.6483,-0.9756,-0.6732,340.0017,-22.1205,-1.2715,39.63298464,-86.84010342,0.00000000,
0.617080,-0.1433,0.2671,1.0616,-1.6382,-0.1043,0.9817,-1.6483,-0.9756,-0.6732,340.0017,-22.1205,-1.2715,39.63298464,-86.84010342,0.00000000,
0.617485,-0.1433,0.2671,1.0616,-1.6382,-0.1043,0.9817,-1.6483,-0.9756,-0.6732,342.2576,-17.0655,1.6079,39.63298464,-86.84010342,0.00000000,
0.623928,-0.1433,0.2671,1.0616,-1.6382,-0.1043,0.9817,-2.5380,-1.4752,-0.1098,342.2576,-17.0655,1.6079,39.63298464,-86.84010342,0.00000000,
