
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.058629,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0359,-0.1179,0.0183,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.059622,-0.0832,0.3158,0.9597,0.0000,0.0000,0.0000,0.0359,-0.1179,0.0183,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.085562,-0.0832,0.3158,0.9597,0.0000,0.0000,0.0000,0.0252,0.0195,0.0052,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.094605,-0.0563,0.3036,0.9331,0.0000,0.0000,0.0000,0.0252,0.0195,0.0052,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.122252,-0.0563,0.3036,0.9331,0.0000,0.0000,0.0000,0.0092,0.1570,0.0254,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.132233,-0.0939,0.3072,0.8839,0.0000,0.0000,0.0000,0.0092,0.1570,0.0254,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.158565,-0.0939,0.3072,0.8839,0.0000,0.0000,0.0000,0.0437,-0.0449,0.0327,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.167542,-0.0977,0.3149,0.8950,0.0000,0.0000,0.0000,0.0437,-0.0449,0.0327,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.194726,-0.0977,0.3149,0.8950,0.0000,0.0000,0.0000,-0.0105,-0.0991,-0.0472,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.204228,-0.0960,0.3064,0.8943,0.0000,0.0000,0.0000,-0.0105,-0.0991,-0.0472,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.231422,-0.0960,0.3064,0.8943,0.0000,0.0000,0.0000,-0.1391,-0.1150,0.0310,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.241583,-0.1015,0.2768,0.9374,0.0000,0.0000,0.0000,-0.1391,-0.1150,0.0310,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.267866,-0.1015,0.2768,0.9374,0.0000,0.0000,0.0000,-0.1013,-0.1161,0.1245,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.277105,-0.0599,0.2970,0.9681,0.0000,0.0000,0.0000,-0.1013,-0.1161,0.1245,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.297097,-0.0599,0.2970,0.9681,0.3888,-0.1343,-0.1119,-0.1013,-0.1161,0.1245,0.0000,0.0000,0.0000,39.64655185,-86.83498799,0.00000000,
0.297731,-0.0599,0.2970,0.9681,0.3888,-0.1343,-0.1119,-0.1013,-0.1161,0.1245,312.3546,-18.2823,-4.7897,39.64655185,-86.83498799,0.00000000,
0.304391,-0.0599,0.2970,0.9681,0.3888,-0.1343,-0.1119,-0.3749,-0.3389,-0.1144,312.3546,-18.2823,-4.7897,39.64655185,-86.83498799,0.00000000,
0.313434,-0.0251,0.2765,0.9057,0.3888,-0.1343,-0.1119,-0.3749,-0.3389,-0.1144,312.3546,-18.2823,-4.7897,39.64655185,-86.83498799,0.00000000,
0.332760,-0.0251,0.2765,0.9057,0.3683,-0.5282,-0.5182,-0.3749,-0.3389,-0.1144,312.3546,-18.2823,-4.7897,39.64655185,-86.83498799,0.00000000,
