
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.018436,-0.0559,0.2225,1.0065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.018600,-0.0559,0.2225,1.0065,0.0000,0.0000,0.0000,0.1408,0.0519,-0.0029,0.0000,0.0000,0.0000,39.63361484,-86.84114213,0.00000000,
0.029225,-0.0792,0.2280,0.9711,0.0000,0.0000,0.0000,0.1408,0.0519,-0.0029,0.0000,0.0000,0.0000,39.63361484,-86.84114213,0.00000000,
0.029619,-0.0792,0.2280,0.9711,0.0000,0.0000,0.0000,0.1408,0.0519,-0.0029,2.8185,-14.2482,-7.0295,39.63361484,-86.84114213,0.00000000,
0.047257,-0.0881,0.2315,0.9502,0.0000,0.0000,0.0000,0.1408,0.0519,-0.0029,2.8185,-14.2482,-7.0295,39.63361484,-86.84114213,0.00000000,
0.051683,-0.0881,0.2315,0.9502,0.0000,0.0000,0.0000,0.1142,-0.0098,-0.0266,2.8185,-14.2482,-7.0295,39.63361484,-86.84114213,0.00000000,
0.066765,-0.0997,0.2418,0.9402,0.0000,0.0000,0.0000,0.1142,-0.0098,-0.0266,2.8185,-14.2482,-7.0295,39.63361484,-86.84114213,0.00000000,
0.067199,-0.0997,0.2418,0.9402,0.0000,0.0000,0.0000,0.1142,-0.0098,-0.0266,2.9002,-14.4369,-6.9786,39.63361484,-86.84114213,0.00000000,
0.084316,-0.1157,0.2490,0.9412,0.0000,0.0000,0.0000,0.1142,-0.0098,-0.0266,2.9002,-14.4369,-6.9786,39.63361484,-86.84114213,0.00000000,
0.088715,-0.1157,0.2490,0.9412,0.0000,0.0000,0.0000,0.0583,-0.0565,-0.0392,2.9002,-14.4369,-6.9786,39.63361484,-86.84114213,0.00000000,
0.102641,-0.1173,0.2529,0.9388,0.0000,0.0000,0.0000,0.0583,-0.0565,-0.0392,2.9002,-14.4369,-6.9786,39.63361484,-86.84114213,0.00000000,
0.103060,-0.1173,0.2529,0.9388,0.0000,0.0000,0.0000,0.0583,-0.0565,-0.0392,2.9877,-14.5432,-6.8895,39.63361484,-86.84114213,0.00000000,
0.120959,-0.1057,0.2520,0.9286,0.0000,0.0000,0.0000,0.0583,-0.0565,-0.0392,2.9877,-14.5432,-6.8895,39.63361484,-86.84114213,0.00000000,
0.126156,-0.1057,0.2520,0.9286,0.0000,0.0000,0.0000,0.0605,-0.0018,-0.0005,2.9877,-14.5432,-6.8895,39.63361484,-86.84114213,0.00000000,
0.139256,-0.0964,0.2492,0.9261,0.0000,0.0000,0.0000,0.0605,-0.0018,-0.0005,2.9877,-14.5432,-6.8895,39.63361484,-86.84114213,0.00000000,
0.139986,-0.0964,0.2492,0.9261,0.0000,0.0000,0.0000,0.0605,-0.0018,-0.0005,3.5808,-14.6624,-6.8984,39.63361484,-86.84114213,0.00000000,
0.158028,-0.0940,0.2467,0.9295,0.0000,0.0000,0.0000,0.0605,-0.0018,-0.0005,3.5808,-14.6624,-6.8984,39.63361484,-86.84114213,0.00000000,
0.161054,-0.0940,0.2467,0.9295,0.0000,0.0000,0.0000,0.0327,0.0145,-0.0281,3.5808,-14.6624,-6.8984,39.63361484,-86.84114213,0.00000000,
0.175032,-0.1008,0.2516,0.9334,0.0000,0.0000,0.0000,0.0327,0.0145,-0.0281,3.5808,-14.6624,-6.8984,39.63361484,-86.84114213,0.00000000,
0.175868,-0.1008,0.2516,0.9334,0.0000,0.0000,0.0000,0.0327,0.0145,-0.0281,3.6561,-14.7063,-6.9544,39.63361484,-86.84114213,0.00000000,
0.194537,-0.1173,0.2524,0.9369,0.0000,0.0000,0.0000,0.0327,0.0145,-0.0281,3.6561,-14.7063,-6.9544,39.63361484,-86.84114213,0.00000000,
0.198030,-0.1173,0.2524,0.9369,0.0000,0.0000,0.0000,-0.0002,0.0301,-0.0716,3.6561,-14.7063,-6.9544,39.63361484,-86.84114213,0.00000000,
0.213024,-0.1298,0.2533,0.9417,0.0000,0.0000,0.0000,-0.0002,0.0301,-0.0716,3.6561,-14.7063,-6.9544,39.63361484,-86.84114213,0.00000000,
0.213995,-0.1298,0.2533,0.9417,0.0000,0.0000,0.0000,-0.0002,0.0301,-0.0716,3.7836,-14.6668,-7.0488,39.63361484,-86.84114213,0.00000000,
0.230552,-0.1268,0.2508,0.9505,0.0000,0.0000,0.0000,-0.0002,0.0301,-0.0716,3.7836,-14.6668,-7.0488,39.63361484,-86.84114213,0.00000000,
0.234727,-0.1268,0.2508,0.9505,0.0000,0.0000,0.0000,-0.0437,-0.0029,-0.0446,3.7836,-14.6668,-7.0488,39.63361484,-86.84114213,0.00000000,
0.248177,-0.1113,0.2479,0.9607,0.0000,0.0000,0.0000,-0.0437,-0.0029,-0.0446,3.7836,-14.6668,-7.0488,39.63361484,-86.84114213,0.00000000,
0.249256,-0.1113,0.2479,0.9607,0.0000,0.0000,0.0000,-0.0437,-0.0029,-0.0446,3.8762,-14.5554,-7.0503,39.63361484,-86.84114213,0.00000000,
0.266871,-0.1074,0.2494,0.9660,0.0000,0.0000,0.0000,-0.0437,-0.0029,-0.0446,3.8762,-14.5554,-7.0503,39.63361484,-86.84114213,0.00000000,
0.270928,-0.1074,0.2494,0.9660,0.0000,0.0000,0.0000,-0.0304,0.0037,-0.0513,3.8762,-14.5554,-7.0503,39.63361484,-86.84114213,0.00000000,
0.284602,-0.1094,0.2586,0.9593,0.0000,0.0000,0.0000,-0.0304,0.0037,-0.0513,3.8762,-14.5554,-7.0503,39.63361484,-86.84114213,0.00000000,
0.285417,-0.1094,0.2586,0.9593,0.0000,0.0000,0.0000,-0.0304,0.0037,-0.0513,3.9839,-14.4986,-7.0902,39.63361484,-86.84114213,0.00000000,
0.286014,-0.1094,0.2586,0.9593,-0.0394,0.0343,-0.0278,-0.0304,0.0037,-0.0513,3.9839,-14.4986,-7.0902,39.63361484,-86.84114213,0.00000000,
0.303157,-0.1090,0.2650,0.9530,-0.0394,0.0343,-0.0278,-0.0304,0.0037,-0.0513,3.9839,-14.4986,-7.0902,39.63361484,-86.84114213,0.00000000,
0.307301,-0.1090,0.2650,0.9530,-0.0394,0.0343,-0.0278,-0.0018,0.0231,-0.0692,3.9839,-14.4986,-7.0902,39.63361484,-86.84114213,0.00000000,
0.321016,-0.1158,0.2664,0.9569,-0.0394,0.0343,-0.0278,-0.0018,0.0231,-0.0692,3.9839,-14.4986,-7.0902,39.63361484,-86.84114213,0.00000000,
0.321927,-0.1158,0.2664,0.9569,-0.0394,0.0343,-0.0278,-0.0018,0.0231,-0.0692,4.1115,-14.4982,-7.1869,39.63361484,-86.84114213,0.00000000,
0.322480,-0.1158,0.2664,0.9569,-0.0541,0.1269,-0.0628,-0.0018,0.0231,-0.0692,4.1115,-14.4982,-7.1869,39.63361484,-86.84114213,0.00000000,
0.339971,-0.1226,0.2727,0.9517,-0.0541,0.1269,-0.0628,-0.0018,0.0231,-0.0692,4.1115,-14.4982,-7.1869,39.63361484,-86.84114213,0.00000000,
0.343574,-0.1226,0.2727,0.9517,-0.0541,0.1269,-0.0628,0.0119,0.0507,-0.0464,4.1115,-14.4982,-7.1869,39.63361484,-86.84114213,0.00000000,
0.357976,-0.1328,0.2805,0.9445,-0.0541,0.1269,-0.0628,0.0119,0.0507,-0.0464,4.1115,-14.4982,-7.1869,39.63361484,-86.84114213,0.00000000,
0.359268,-0.1328,0.2805,0.9445,-0.0541,0.1269,-0.0628,0.0119,0.0507,-0.0464,4.2079,-14.5047,-7.2930,39.63361484,-86.84114213,0.00000000,
