
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.024881,-0.0455,0.3028,1.0692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.025067,-0.0455,0.3028,1.0692,0.0000,0.0000,0.0000,0.1306,-0.1823,0.0321,0.0000,0.0000,0.0000,39.64264171,-86.84591461,3.86553478,
0.033219,-0.0573,0.3208,1.0592,0.0000,0.0000,0.0000,0.1306,-0.1823,0.0321,0.0000,0.0000,0.0000,39.64264171,-86.84591461,3.86553478,
0.050543,-0.0518,0.3407,1.0034,0.0000,0.0000,0.0000,0.1306,-0.1823,0.0321,0.0000,0.0000,0.0000,39.64264171,-86.84591461,3.86553478,
0.054231,-0.0518,0.3407,1.0034,0.0000,0.0000,0.0000,0.3612,-0.3593,0.1407,0.0000,0.0000,0.0000,39.64264171,-86.84591461,3.86553478,
0.070038,-0.0304,0.3373,0.8841,0.0000,0.0000,0.0000,0.3612,-0.3593,0.1407,0.0000,0.0000,0.0000,39.64264171,-86.84591461,3.86553478,
0.070412,-0.0304,0.3373,0.8841,0.0000,0.0000,0.0000,0.3612,-0.3593,0.1407,230.7086,-19.8347,0.0117,39.64264171,-86.84591461,3.86553478,
0.087847,0.0037,0.3934,0.7600,0.0000,0.0000,0.0000,0.3612,-0.3593,0.1407,230.7086,-19.8347,0.0117,39.64264171,-86.84591461,3.86553478,
0.091523,0.0037,0.3934,0.7600,0.0000,0.0000,0.0000,0.3792,-0.4304,0.0530,230.7086,-19.8347,0.0117,39.64264171,-86.84591461,3.86553478,
0.106288,0.0087,0.4089,0.7013,0.0000,0.0000,0.0000,0.3792,-0.4304,0.0530,230.7086,-19.8347,0.0117,39.64264171,-86.84591461,3.86553478,
0.107067,0.0087,0.4089,0.7013,0.0000,0.0000,0.0000,0.3792,-0.4304,0.0530,230.9756,-20.5511,0.8852,39.64264171,-86.84591461,3.86553478,
0.123928,0.0391,0.4020,0.7985,0.0000,0.0000,0.0000,0.3792,-0.4304,0.0530,230.9756,-20.5511,0.8852,39.64264171,-86.84591461,3.86553478,
0.127505,0.0391,0.4020,0.7985,0.0000,0.0000,0.0000,0.0182,-0.2556,-0.0197,230.9756,-20.5511,0.8852,39.64264171,-86.84591461,3.86553478,
0.141711,0.0482,0.3412,0.9297,0.0000,0.0000,0.0000,0.0182,-0.2556,-0.0197,230.9756,-20.5511,0.8852,39.64264171,-86.84591461,3.86553478,
0.142571,0.0482,0.3412,0.9297,0.0000,0.0000,0.0000,0.0182,-0.2556,-0.0197,231.1581,-20.4219,1.1959,39.64264171,-86.84591461,3.86553478,
0.160691,-0.0097,0.3218,1.0888,0.0000,0.0000,0.0000,0.0182,-0.2556,-0.0197,231.1581,-20.4219,1.1959,39.64264171,-86.84591461,3.86553478,
0.164081,-0.0097,0.3218,1.0888,0.0000,0.0000,0.0000,-0.1196,0.1301,-0.0394,231.1581,-20.4219,1.1959,39.64264171,-86.84591461,3.86553478,
0.178487,-0.0394,0.3134,1.1574,0.0000,0.0000,0.0000,-0.1196,0.1301,-0.0394,231.1581,-20.4219,1.1959,39.64264171,-86.84591461,3.86553478,
0.179585,-0.0394,0.3134,1.1574,0.0000,0.0000,0.0000,-0.1196,0.1301,-0.0394,231.0502,-20.2118,0.7411,39.64264171,-86.84591461,3.86553478,
0.196396,-0.0473,0.3117,1.1243,0.0000,0.0000,0.0000,-0.1196,0.1301,-0.0394,231.0502,-20.2118,0.7411,39.64264171,-86.84591461,3.86553478,
0.200641,-0.0473,0.3117,1.1243,0.0000,0.0000,0.0000,0.1332,0.3204,0.0779,231.0502,-20.2118,0.7411,39.64264171,-86.84591461,3.86553478,
0.216864,-0.0632,0.3341,1.0413,0.0000,0.0000,0.0000,0.1332,0.3204,0.0779,231.0502,-20.2118,0.7411,39.64264171,-86.84591461,3.86553478,
0.217947,-0.0632,0.3341,1.0413,0.0000,0.0000,0.0000,0.1332,0.3204,0.0779,230.5772,-20.6080,0.1637,39.64264171,-86.84591461,3.86553478,
0.232843,-0.0497,0.3623,0.9179,0.0000,0.0000,0.0000,0.1332,0.3204,0.0779,230.5772,-20.6080,0.1637,39.64264171,-86.84591461,3.86553478,
0.236951,-0.0497,0.3623,0.9179,0.0000,0.0000,0.0000,0.2923,0.2453,0.1379,230.5772,-20.6080,0.1637,39.64264171,-86.84591461,3.86553478,
0.251313,-0.0630,0.3612,0.8645,0.0000,0.0000,0.0000,0.2923,0.2453,0.1379,230.5772,-20.6080,0.1637,39.64264171,-86.84591461,3.86553478,
0.252093,-0.0630,0.3612,0.8645,0.0000,0.0000,0.0000,0.2923,0.2453,0.1379,230.1701,-21.2374,-0.1718,39.64264171,-86.84591461,3.86553478,
0.269544,-0.0439,0.3835,0.8145,0.0000,0.0000,0.0000,0.2923,0.2453,0.1379,230.1701,-21.2374,-0.1718,39.64264171,-86.84591461,3.86553478,
0.273773,-0.0439,0.3835,0.8145,0.0000,0.0000,0.0000,0.2778,-0.0215,0.0603,230.1701,-21.2374,-0.1718,39.64264171,-86.84591461,3.86553478,
0.288216,-0.0109,0.4093,0.7661,0.0000,0.0000,0.0000,0.2778,-0.0215,0.0603,230.1701,-21.2374,-0.1718,39.64264171,-86.84591461,3.86553478,
0.289163,-0.0109,0.4093,0.7661,0.0000,0.0000,0.0000,0.2778,-0.0215,0.0603,230.1989,-21.8480,0.1164,39.64264171,-86.84591461,3.86553478,
0.290096,-0.0109,0.4093,0.7661,-0.0087,0.2875,-1.2972,0.2778,-0.0215,0.0603,230.1989,-21.8480,0.1164,39.64264171,-86.84591461,3.86553478,
0.305882,0.0178,0.3890,0.7541,-0.0087,0.2875,-1.2972,0.2778,-0.0215,0.0603,230.1989,-21.8480,0.1164,39.64264171,-86.84591461,3.86553478,
0.310478,0.0178,0.3890,0.7541,-0.0087,0.2875,-1.2972,0.2900,-0.4336,0.0075,230.1989,-21.8480,0.1164,39.64264171,-86.84591461,3.86553478,
0.324786,0.0624,0.3932,0.8120,-0.0087,0.2875,-1.2972,0.2900,-0.4336,0.0075,230.1989,-21.8480,0.1164,39.64264171,-86.84591461,3.86553478,
