
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.018722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.6370,-1.1000,-0.6267,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.027664,-0.3554,0.1895,1.5074,0.0000,0.0000,0.0000,-2.6370,-1.1000,-0.6267,0.0000,0.0000,0.0000,39.63604651,-86.84115608,0.64157444,
0.028195,-0.3554,0.1895,1.5074,0.0000,0.0000,0.0000,-2.6370,-1.1000,-0.6267,186.2487,-14.1240,-11.7584,39.63604651,-86.84115608,0.64157444,
0.039625,-0.3165,0.0823,1.6766,0.0000,0.0000,0.0000,-2.6370,-1.1000,-0.6267,186.2487,-14.1240,-11.7584,39.63604651,-86.84115608,0.64157444,
0.048762,-0.3165,0.0823,1.6766,0.0000,0.0000,0.0000,-2.0371,-0.8057,-0.7347,186.2487,-14.1240,-11.7584,39.63604651,-86.84115608,0.64157444,
0.057870,-0.2694,-0.0255,1.7236,0.0000,0.0000,0.0000,-2.0371,-0.8057,-0.7347,186.2487,-14.1240,-11.7584,39.63604651,-86.84115608,0.64157444,
0.058740,-0.2694,-0.0255,1.7236,0.0000,0.0000,0.0000,-2.0371,-0.8057,-0.7347,188.1305,-9.7661,-10.5398,39.63604651,-86.84115608,0.64157444,
0.076109,-0.3067,-0.0577,1.5145,0.0000,0.0000,0.0000,-2.0371,-0.8057,-0.7347,188.1305,-9.7661,-10.5398,39.63604651,-86.84115608,0.64157444,
0.085147,-0.3067,-0.0577,1.5145,0.0000,0.0000,0.0000,-0.2263,-0.2126,-0.5741,188.1305,-9.7661,-10.5398,39.63604651,-86.84115608,0.64157444,
0.094575,-0.2546,-0.0695,1.0690,0.0000,0.0000,0.0000,-0.2263,-0.2126,-0.5741,188.1305,-9.7661,-10.5398,39.63604651,-86.84115608,0.64157444,
0.095044,-0.2546,-0.0695,1.0690,0.0000,0.0000,0.0000,-0.2263,-0.2126,-0.5741,189.3249,-9.4303,-10.4750,39.63604651,-86.84115608,0.64157444,
0.112789,-0.1784,-0.0067,0.6976,0.0000,0.0000,0.0000,-0.2263,-0.2126,-0.5741,189.3249,-9.4303,-10.4750,39.63604651,-86.84115608,0.64157444,
0.121909,-0.1784,-0.0067,0.6976,0.0000,0.0000,0.0000,0.5185,0.1455,-0.4320,189.3249,-9.4303,-10.4750,39.63604651,-86.84115608,0.64157444,
0.131479,-0.2380,0.0218,0.5696,0.0000,0.0000,0.0000,0.5185,0.1455,-0.4320,189.3249,-9.4303,-10.4750,39.63604651,-86.84115608,0.64157444,
0.131917,-0.2380,0.0218,0.5696,0.0000,0.0000,0.0000,0.5185,0.1455,-0.4320,190.1461,-10.4125,-11.0527,39.63604651,-86.84115608,0.64157444,
0.149576,-0.3210,0.0561,0.5574,0.0000,0.0000,0.0000,0.5185,0.1455,-0.4320,190.1461,-10.4125,-11.0527,39.63604651,-86.84115608,0.64157444,
0.157860,-0.3210,0.0561,0.5574,0.0000,0.0000,0.0000,0.2515,0.2167,-0.4070,190.1461,-10.4125,-11.0527,39.63604651,-86.84115608,0.64157444,
0.167638,-0.3705,0.0531,0.6100,0.0000,0.0000,0.0000,0.2515,0.2167,-0.4070,190.1461,-10.4125,-11.0527,39.63604651,-86.84115608,0.64157444,
0.168342,-0.3705,0.0531,0.6100,0.0000,0.0000,0.0000,0.2515,0.2167,-0.4070,190.8930,-10.6643,-11.7778,39.63604651,-86.84115608,0.64157444,
0.185650,-0.3830,0.0045,0.7264,0.0000,0.0000,0.0000,0.2515,0.2167,-0.4070,190.8930,-10.6643,-11.7778,39.63604651,-86.84115608,0.64157444,
0.195616,-0.3830,0.0045,0.7264,0.0000,0.0000,0.0000,-0.2082,0.0721,-0.2245,190.8930,-10.6643,-11.7778,39.63604651,-86.84115608,0.64157444,
0.204763,-0.4021,-0.0331,0.8711,0.0000,0.0000,0.0000,-0.2082,0.0721,-0.2245,190.8930,-10.6643,-11.7778,39.63604651,-86.84115608,0.64157444,
0.205387,-0.4021,-0.0331,0.8711,0.0000,0.0000,0.0000,-0.2082,0.0721,-0.2245,191.2932,-9.9942,-12.0519,39.63604651,-86.84115608,0.64157444,
0.222305,-0.3759,-0.0678,0.9656,0.0000,0.0000,0.0000,-0.2082,0.0721,-0.2245,191.2932,-9.9942,-12.0519,39.63604651,-86.84115608,0.64157444,
0.232250,-0.3759,-0.0678,0.9656,0.0000,0.0000,0.0000,-0.4811,-0.2405,0.0593,191.2932,-9.9942,-12.0519,39.63604651,-86.84115608,0.64157444,
0.240808,-0.3025,-0.0842,1.0587,0.0000,0.0000,0.0000,-0.4811,-0.2405,0.0593,191.2932,-9.9942,-12.0519,39.63604651,-86.84115608,0.64157444,
0.241710,-0.3025,-0.0842,1.0587,0.0000,0.0000,0.0000,-0.4811,-0.2405,0.0593,191.2126,-8.9018,-11.5303,39.63604651,-86.84115608,0.64157444,
0.258996,-0.3437,-0.0816,1.1517,0.0000,0.0000,0.0000,-0.4811,-0.2405,0.0593,191.2126,-8.9018,-11.5303,39.63604651,-86.84115608,0.64157444,
0.268186,-0.3437,-0.0816,1.1517,0.0000,0.0000,0.0000,-0.4746,-0.1692,0.1500,191.2126,-8.9018,-11.5303,39.63604651,-86.84115608,0.64157444,
0.277642,-0.4725,-0.0382,1.2031,0.0000,0.0000,0.0000,-0.4746,-0.1692,0.1500,191.2126,-8.9018,-11.5303,39.63604651,-86.84115608,0.64157444,
0.278154,-0.4725,-0.0382,1.2031,0.0000,0.0000,0.0000,-0.4746,-0.1692,0.1500,190.9242,-7.9766,-11.2291,39.63604651,-86.84115608,0.64157444,
0.278459,-0.4725,-0.0382,1.2031,-1.0642,-1.7228,2.1222,-0.4746,-0.1692,0.1500,190.9242,-7.9766,-11.2291,39.63604651,-86.84115608,0.64157444,
0.295452,-0.5718,-0.0298,1.1454,-1.0642,-1.7228,2.1222,-0.4746,-0.1692,0.1500,190.9242,-7.9766,-11.2291,39.63604651,-86.84115608,0.64157444,
0.304078,-0.5718,-0.0298,1.1454,-1.0642,-1.7228,2.1222,-0.0577,-0.2427,0.2896,190.9242,-7.9766,-11.2291,39.63604651,-86.84115608,0.64157444,
0.313315,-0.5096,0.0156,1.0168,-1.0642,-1.7228,2.1222,-0.0577,-0.2427,0.2896,190.9242,-7.9766,-11.2291,39.63604651,-86.84115608,0.64157444,
0.313892,-0.5096,0.0156,1.0168,-1.0642,-1.7228,2.1222,-0.0577,-0.2427,0.2896,190.3717,-8.0176,-10.6304,39.63604651,-86.84115608,0.64157444,
0.314686,-0.5096,0.0156,1.0168,-2.0630,-1.2856,1.1997,-0.0577,-0.2427,0.2896,190.3717,-8.0176,-10.6304,39.63604651,-86.84115608,0.64157444,
0.331782,-0.4139,0.0386,0.9068,-2.0630,-1.2856,1.1997,-0.0577,-0.2427,0.2896,190.3717,-8.0176,-10.6304,39.63604651,-86.84115608,0.64157444,
0.341578,-0.4139,0.0386,0.9068,-2.0630,-1.2856,1.1997,-0.0008,-1.0858,0.4421,190.3717,-8.0176,-10.6304,39.63604651,-86.84115608,0.64157444,
0.349732,-0.2702,0.0407,0.9032,-2.0630,-1.2856,1.1997,-0.0008,-1.0858,0.4421,190.3717,-8.0176,-10.6304,39.63604651,-86.84115608,0.64157444,
0.350232,-0.2702,0.0407,0.9032,-2.0630,-1.2856,1.1997,-0.0008,-1.0858,0.4421,189.7727,-8.0696,-8.1368,39.63604651,-86.84115608,0.64157444,
0.350522,-0.2702,0.0407,0.9032,-0.8191,-0.9478,-0.2890,-0.0008,-1.0858,0.4421,189.7727,-8.0696,-8.1368,39.63604651,-86.84115608,0.64157444,
0.368003,-0.1148,0.0162,0.9309,-0.8191,-0.9478,-0.2890,-0.0008,-1.0858,0.4421,189.7727,-8.0696,-8.1368,39.63604651,-86.84115608,0.64157444,
0.377025,-0.1148,0.0162,0.9309,-0.8191,-0.9478,-0.2890,-0.1684,-1.6035,0.4233,189.7727,-8.0696,-8.1368,39.63604651,-86.84115608,0.64157444,
0.386973,0.0356,-0.0205,0.9784,-0.8191,-0.9478,-0.2890,-0.1684,-1.6035,0.4233,189.7727,-8.0696,-8.1368,39.63604651,-86.84115608,0.64157444,
0.387431,0.0356,-0.0205,0.9784,-0.8191,-0.9478,-0.2890,-0.1684,-1.6035,0.4233,189.4153,-7.7129,-4.6196,39.63604651,-86.84115608,0.64157444,
0.387812,0.0356,-0.0205,0.9784,1.3757,-1.2806,-0.1312,-0.1684,-1.6035,0.4233,189.4153,-7.7129,-4.6196,39.63604651,-86.84115608,0.64157444,
0.405437,0.0955,0.0053,1.0102,1.3757,-1.2806,-0.1312,-0.1684,-1.6035,0.4233,189.4153,-7.7129,-4.6196,39.63604651,-86.84115608,0.64157444,
0.414225,0.0955,0.0053,1.0102,1.3757,-1.2806,-0.1312,-0.0031,-1.5010,-0.0058,189.4153,-7.7129,-4.6196,39.63604651,-86.84115608,0.64157444,
0.423011,0.0898,0.0562,0.9655,1.3757,-1.2806,-0.1312,-0.0031,-1.5010,-0.0058,189.4153,-7.7129,-4.6196,39.63604651,-86.84115608,0.64157444,
0.423857,0.0898,0.0562,0.9655,1.3757,-1.2806,-0.1312,-0.0031,-1.5010,-0.0058,189.9420,-7.7221,-1.5793,39.63604651,-86.84115608,0.64157444,
0.424228,0.0898,0.0562,0.9655,2.1033,-0.9068,-0.0670,-0.0031,-1.5010,-0.0058,189.9420,-7.7221,-1.5793,39.63604651,-86.84115608,0.64157444,
0.442461,0.0454,0.1007,0.9164,2.1033,-0.9068,-0.0670,-0.0031,-1.5010,-0.0058,189.9420,-7.7221,-1.5793,39.63604651,-86.84115608,0.64157444,
0.450537,0.0454,0.1007,0.9164,2.1033,-0.9068,-0.0670,0.2167,-0.7827,-0.2370,189.9420,-7.7221,-1.5793,39.63604651,-86.84115608,0.64157444,
0.459719,0.0117,0.1326,0.8647,2.1033,-0.9068,-0.0670,0.2167,-0.7827,-0.2370,189.9420,-7.7221,-1.5793,39.63604651,-86.84115608,0.64157444,
0.460271,0.0117,0.1326,0.8647,2.1033,-0.9068,-0.0670,0.2167,-0.7827,-0.2370,190.6606,-8.2100,-0.2087,39.63604651,-86.84115608,0.64157444,
0.460655,0.0117,0.1326,0.8647,1.4742,-0.2420,-0.8878,0.2167,-0.7827,-0.2370,190.6606,-8.2100,-0.2087,39.63604651,-86.84115608,0.64157444,
0.477627,0.0071,0.1398,0.8073,1.4742,-0.2420,-0.8878,0.2167,-0.7827,-0.2370,190.6606,-8.2100,-0.2087,39.63604651,-86.84115608,0.64157444,
0.487092,0.0071,0.1398,0.8073,1.4742,-0.2420,-0.8878,0.2938,-0.2732,-0.2011,190.6606,-8.2100,-0.2087,39.63604651,-86.84115608,0.64157444,
