
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.015838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1921,0.2621,0.1058,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.015944,0.0209,0.1830,0.9526,0.0000,0.0000,0.0000,0.1921,0.2621,0.1058,0.0000,0.0000,0.0000,39.63168501,-86.85103647,0.00000000,
0.030680,0.0035,0.1996,0.8696,0.0000,0.0000,0.0000,0.1921,0.2621,0.1058,0.0000,0.0000,0.0000,39.63168501,-86.85103647,0.00000000,
0.049096,0.0035,0.1996,0.8696,0.0000,0.0000,0.0000,0.1306,-0.0478,-0.0519,0.0000,0.0000,0.0000,39.63168501,-86.85103647,0.00000000,
0.049371,0.0149,0.2171,0.8206,0.0000,0.0000,0.0000,0.1306,-0.0478,-0.0519,0.0000,0.0000,0.0000,39.63168501,-86.85103647,0.00000000,
0.049550,0.0149,0.2171,0.8206,0.0000,0.0000,0.0000,0.1306,-0.0478,-0.0519,126.8270,-4.3295,-7.3685,39.63168501,-86.85103647,0.00000000,
0.068828,0.0565,0.2241,0.8118,0.0000,0.0000,0.0000,0.1306,-0.0478,-0.0519,126.8270,-4.3295,-7.3685,39.63168501,-86.85103647,0.00000000,
0.085409,0.0565,0.2241,0.8118,0.0000,0.0000,0.0000,-0.0887,-0.6219,-0.2482,126.8270,-4.3295,-7.3685,39.63168501,-86.85103647,0.00000000,
0.085872,0.0976,0.2893,0.9107,0.0000,0.0000,0.0000,-0.0887,-0.6219,-0.2482,126.8270,-4.3295,-7.3685,39.63168501,-86.85103647,0.00000000,
0.086015,0.0976,0.2893,0.9107,0.0000,0.0000,0.0000,-0.0887,-0.6219,-0.2482,127.4221,-4.1336,-6.1354,39.63168501,-86.85103647,0.00000000,
0.103920,0.1592,0.3315,1.0264,0.0000,0.0000,0.0000,-0.0887,-0.6219,-0.2482,127.4221,-4.1336,-6.1354,39.63168501,-86.85103647,0.00000000,
0.121552,0.1592,0.3315,1.0264,0.0000,0.0000,0.0000,0.1455,-0.3366,-0.3969,127.4221,-4.1336,-6.1354,39.63168501,-86.85103647,0.00000000,
0.122137,0.1704,0.3690,1.1056,0.0000,0.0000,0.0000,0.1455,-0.3366,-0.3969,127.4221,-4.1336,-6.1354,39.63168501,-86.85103647,0.00000000,
0.122543,0.1704,0.3690,1.1056,0.0000,0.0000,0.0000,0.1455,-0.3366,-0.3969,128.2378,-4.2972,-5.2660,39.63168501,-86.85103647,0.00000000,
0.140665,0.1072,0.3631,1.1548,0.0000,0.0000,0.0000,0.1455,-0.3366,-0.3969,128.2378,-4.2972,-5.2660,39.63168501,-86.85103647,0.00000000,
0.158957,0.1072,0.3631,1.1548,0.0000,0.0000,0.0000,0.3590,-0.0544,-0.5226,128.2378,-4.2972,-5.2660,39.63168501,-86.85103647,0.00000000,
0.159536,0.0258,0.3526,1.2152,0.0000,0.0000,0.0000,0.3590,-0.0544,-0.5226,128.2378,-4.2972,-5.2660,39.63168501,-86.85103647,0.00000000,
0.159941,0.0258,0.3526,1.2152,0.0000,0.0000,0.0000,0.3590,-0.0544,-0.5226,129.3758,-4.9709,-5.2140,39.63168501,-86.85103647,0.00000000,
0.176589,-0.0498,0.3111,1.2509,0.0000,0.0000,0.0000,0.3590,-0.0544,-0.5226,129.3758,-4.9709,-5.2140,39.63168501,-86.85103647,0.00000000,
0.194713,-0.0498,0.3111,1.2509,0.0000,0.0000,0.0000,0.3535,-0.0732,-0.4581,129.3758,-4.9709,-5.2140,39.63168501,-86.85103647,0.00000000,
0.195592,-0.0642,0.2988,1.2630,0.0000,0.0000,0.0000,0.3535,-0.0732,-0.4581,129.3758,-4.9709,-5.2140,39.63168501,-86.85103647,0.00000000,
0.196325,-0.0642,0.2988,1.2630,0.0000,0.0000,0.0000,0.3535,-0.0732,-0.4581,130.3585,-5.6981,-5.1772,39.63168501,-86.85103647,0.00000000,
0.213451,-0.0596,0.2580,1.2621,0.0000,0.0000,0.0000,0.3535,-0.0732,-0.4581,130.3585,-5.6981,-5.1772,39.63168501,-86.85103647,0.00000000,
0.232061,-0.0596,0.2580,1.2621,0.0000,0.0000,0.0000,0.2729,-0.1570,-0.5712,130.3585,-5.6981,-5.1772,39.63168501,-86.85103647,0.00000000,
0.233174,-0.0519,0.2454,1.2366,0.0000,0.0000,0.0000,0.2729,-0.1570,-0.5712,130.3585,-5.6981,-5.1772,39.63168501,-86.85103647,0.00000000,
0.233678,-0.0519,0.2454,1.2366,0.0000,0.0000,0.0000,0.2729,-0.1570,-0.5712,131.5030,-6.1843,-5.0248,39.63168501,-86.85103647,0.00000000,
0.249265,-0.0993,0.2076,1.2003,0.0000,0.0000,0.0000,0.2729,-0.1570,-0.5712,131.5030,-6.1843,-5.0248,39.63168501,-86.85103647,0.00000000,
0.268008,-0.0993,0.2076,1.2003,0.0000,0.0000,0.0000,0.1509,-0.3665,-0.7857,131.5030,-6.1843,-5.0248,39.63168501,-86.85103647,0.00000000,
0.268866,-0.1535,0.1422,1.1175,0.0000,0.0000,0.0000,0.1509,-0.3665,-0.7857,131.5030,-6.1843,-5.0248,39.63168501,-86.85103647,0.00000000,
0.269510,-0.1535,0.1422,1.1175,0.0000,0.0000,0.0000,0.1509,-0.3665,-0.7857,133.2237,-6.4904,-4.4476,39.63168501,-86.85103647,0.00000000,
0.270223,-0.1535,0.1422,1.1175,-1.3751,-0.7689,1.8437,0.1509,-0.3665,-0.7857,133.2237,-6.4904,-4.4476,39.63168501,-86.85103647,0.00000000,
0.285724,-0.1718,0.0861,1.0566,-1.3751,-0.7689,1.8437,0.1509,-0.3665,-0.7857,133.2237,-6.4904,-4.4476,39.63168501,-86.85103647,0.00000000,
0.304825,-0.1718,0.0861,1.0566,-1.3751,-0.7689,1.8437,-0.4429,-0.5837,-0.9201,133.2237,-6.4904,-4.4476,39.63168501,-86.85103647,0.00000000,
0.305891,-0.2111,0.0231,1.0624,-1.3751,-0.7689,1.8437,-0.4429,-0.5837,-0.9201,133.2237,-6.4904,-4.4476,39.63168501,-86.85103647,0.00000000,
0.307247,-0.2111,0.0231,1.0624,-1.3751,-0.7689,1.8437,-0.4429,-0.5837,-0.9201,135.2111,-5.6256,-3.5516,39.63168501,-86.85103647,0.00000000,
0.307975,-0.2111,0.0231,1.0624,-2.1052,-1.7749,1.0218,-0.4429,-0.5837,-0.9201,135.2111,-5.6256,-3.5516,39.63168501,-86.85103647,0.00000000,
0.322928,-0.2354,-0.0388,1.0627,-2.1052,-1.7749,1.0218,-0.4429,-0.5837,-0.9201,135.2111,-5.6256,-3.5516,39.63168501,-86.85103647,0.00000000,
0.341003,-0.2354,-0.0388,1.0627,-2.1052,-1.7749,1.0218,-0.8543,-1.1707,-0.9421,135.2111,-5.6256,-3.5516,39.63168501,-86.85103647,0.00000000,
0.342519,-0.2017,-0.0717,1.1105,-2.1052,-1.7749,1.0218,-0.8543,-1.1707,-0.9421,135.2111,-5.6256,-3.5516,39.63168501,-86.85103647,0.00000000,
0.343808,-0.2017,-0.0717,1.1105,-2.1052,-1.7749,1.0218,-0.8543,-1.1707,-0.9421,137.3590,-3.6883,-1.5821,39.63168501,-86.85103647,0.00000000,
0.344853,-0.2017,-0.0717,1.1105,-2.5776,-2.5121,1.1483,-0.8543,-1.1707,-0.9421,137.3590,-3.6883,-1.5821,39.63168501,-86.85103647,0.00000000,
0.359006,-0.1597,-0.1093,1.1568,-2.5776,-2.5121,1.1483,-0.8543,-1.1707,-0.9421,137.3590,-3.6883,-1.5821,39.63168501,-86.85103647,0.00000000,
0.377917,-0.1597,-0.1093,1.1568,-2.5776,-2.5121,1.1483,-0.7184,-1.2764,-0.8780,137.3590,-3.6883,-1.5821,39.63168501,-86.85103647,0.00000000,
0.379097,-0.1676,-0.1377,1.0981,-2.5776,-2.5121,1.1483,-0.7184,-1.2764,-0.8780,137.3590,-3.6883,-1.5821,39.63168501,-86.85103647,0.00000000,
0.379974,-0.1676,-0.1377,1.0981,-2.5776,-2.5121,1.1483,-0.7184,-1.2764,-0.8780,139.3978,-2.1317,1.0569,39.63168501,-86.85103647,0.00000000,
0.380884,-0.1676,-0.1377,1.0981,-2.6246,-2.9971,1.3040,-0.7184,-1.2764,-0.8780,139.3978,-2.1317,1.0569,39.63168501,-86.85103647,0.00000000,
0.395682,-0.1688,-0.1790,1.0909,-2.6246,-2.9971,1.3040,-0.7184,-1.2764,-0.8780,139.3978,-2.1317,1.0569,39.63168501,-86.85103647,0.00000000,
0.415079,-0.1688,-0.1790,1.0909,-2.6246,-2.9971,1.3040,-0.8111,-1.1060,-0.7243,139.3978,-2.1317,1.0569,39.63168501,-86.85103647,0.00000000,
0.416600,-0.0667,-0.1995,1.0768,-2.6246,-2.9971,1.3040,-0.8111,-1.1060,-0.7243,139.3978,-2.1317,1.0569,39.63168501,-86.85103647,0.00000000,
0.417673,-0.0667,-0.1995,1.0768,-2.6246,-2.9971,1.3040,-0.8111,-1.1060,-0.7243,140.9164,-0.4922,3.2086,39.63168501,-86.85103647,0.00000000,
0.419729,-0.0667,-0.1995,1.0768,-2.3165,-3.3875,1.0421,-0.8111,-1.1060,-0.7243,140.9164,-0.4922,3.2086,39.63168501,-86.85103647,0.00000000,
0.432343,-0.0289,-0.2183,1.0678,-2.3165,-3.3875,1.0421,-0.8111,-1.1060,-0.7243,140.9164,-0.4922,3.2086,39.63168501,-86.85103647,0.00000000,
