
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.023363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3442,0.2390,-0.2046,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.030611,-0.0648,0.3461,0.8165,0.0000,0.0000,0.0000,0.3442,0.2390,-0.2046,0.0000,0.0000,0.0000,39.64475059,-86.82723819,2.84524822,
0.031195,-0.0648,0.3461,0.8165,0.0000,0.0000,0.0000,0.3442,0.2390,-0.2046,226.5046,-21.7605,-4.0867,39.64475059,-86.82723819,2.84524822,
0.047697,-0.0902,0.3511,0.7830,0.0000,0.0000,0.0000,0.3442,0.2390,-0.2046,226.5046,-21.7605,-4.0867,39.64475059,-86.82723819,2.84524822,
0.056661,-0.0902,0.3511,0.7830,0.0000,0.0000,0.0000,0.1431,0.2596,-0.1753,226.5046,-21.7605,-4.0867,39.64475059,-86.82723819,2.84524822,
0.066371,-0.1032,0.3496,0.7923,0.0000,0.0000,0.0000,0.1431,0.2596,-0.1753,226.5046,-21.7605,-4.0867,39.64475059,-86.82723819,2.84524822,
0.067007,-0.1032,0.3496,0.7923,0.0000,0.0000,0.0000,0.1431,0.2596,-0.1753,226.6389,-21.9914,-4.7279,39.64475059,-86.82723819,2.84524822,
0.084393,-0.1306,0.3304,0.8077,0.0000,0.0000,0.0000,0.1431,0.2596,-0.1753,226.6389,-21.9914,-4.7279,39.64475059,-86.82723819,2.84524822,
0.093233,-0.1306,0.3304,0.8077,0.0000,0.0000,0.0000,-0.0490,0.1442,-0.1730,226.6389,-21.9914,-4.7279,39.64475059,-86.82723819,2.84524822,
0.102311,-0.1489,0.3394,0.8292,0.0000,0.0000,0.0000,-0.0490,0.1442,-0.1730,226.6389,-21.9914,-4.7279,39.64475059,-86.82723819,2.84524822,
0.102716,-0.1489,0.3394,0.8292,0.0000,0.0000,0.0000,-0.0490,0.1442,-0.1730,226.8736,-21.8345,-5.1191,39.64475059,-86.82723819,2.84524822,
0.120837,-0.1635,0.3433,0.8230,0.0000,0.0000,0.0000,-0.0490,0.1442,-0.1730,226.8736,-21.8345,-5.1191,39.64475059,-86.82723819,2.84524822,
0.130330,-0.1635,0.3433,0.8230,0.0000,0.0000,0.0000,-0.0811,0.0212,-0.0889,226.8736,-21.8345,-5.1191,39.64475059,-86.82723819,2.84524822,
0.138833,-0.1597,0.3440,0.7976,0.0000,0.0000,0.0000,-0.0811,0.0212,-0.0889,226.8736,-21.8345,-5.1191,39.64475059,-86.82723819,2.84524822,
0.139614,-0.1597,0.3440,0.7976,0.0000,0.0000,0.0000,-0.0811,0.0212,-0.0889,227.0139,-21.6359,-5.2173,39.64475059,-86.82723819,2.84524822,
0.157083,-0.1268,0.3326,0.7639,0.0000,0.0000,0.0000,-0.0811,0.0212,-0.0889,227.0139,-21.6359,-5.2173,39.64475059,-86.82723819,2.84524822,
0.165859,-0.1268,0.3326,0.7639,0.0000,0.0000,0.0000,-0.1811,-0.0498,-0.0142,227.0139,-21.6359,-5.2173,39.64475059,-86.82723819,2.84524822,
0.175555,-0.0917,0.3233,0.7185,0.0000,0.0000,0.0000,-0.1811,-0.0498,-0.0142,227.0139,-21.6359,-5.2173,39.64475059,-86.82723819,2.84524822,
0.176261,-0.0917,0.3233,0.7185,0.0000,0.0000,0.0000,-0.1811,-0.0498,-0.0142,227.0749,-21.2247,-5.1028,39.64475059,-86.82723819,2.84524822,
0.193585,-0.0754,0.3169,0.6697,0.0000,0.0000,0.0000,-0.1811,-0.0498,-0.0142,227.0749,-21.2247,-5.1028,39.64475059,-86.82723819,2.84524822,
0.202620,-0.0754,0.3169,0.6697,0.0000,0.0000,0.0000,-0.3286,-0.1697,0.0484,227.0749,-21.2247,-5.1028,39.64475059,-86.82723819,2.84524822,
0.213207,-0.0556,0.3003,0.6286,0.0000,0.0000,0.0000,-0.3286,-0.1697,0.0484,227.0749,-21.2247,-5.1028,39.64475059,-86.82723819,2.84524822,
0.214226,-0.0556,0.3003,0.6286,0.0000,0.0000,0.0000,-0.3286,-0.1697,0.0484,227.0835,-20.5221,-4.7116,39.64475059,-86.82723819,2.84524822,
0.230438,-0.0411,0.2787,0.5850,0.0000,0.0000,0.0000,-0.3286,-0.1697,0.0484,227.0835,-20.5221,-4.7116,39.64475059,-86.82723819,2.84524822,
0.238903,-0.0411,0.2787,0.5850,0.0000,0.0000,0.0000,-0.3910,-0.1918,0.1570,227.0835,-20.5221,-4.7116,39.64475059,-86.82723819,2.84524822,
0.250938,0.0062,0.2512,0.5098,0.0000,0.0000,0.0000,-0.3910,-0.1918,0.1570,227.0835,-20.5221,-4.7116,39.64475059,-86.82723819,2.84524822,
0.252215,0.0062,0.2512,0.5098,0.0000,0.0000,0.0000,-0.3910,-0.1918,0.1570,226.8786,-19.7172,-4.1708,39.64475059,-86.82723819,2.84524822,
0.267234,0.0708,0.2305,0.4432,0.0000,0.0000,0.0000,-0.3910,-0.1918,0.1570,226.8786,-19.7172,-4.1708,39.64475059,-86.82723819,2.84524822,
0.275489,0.0708,0.2305,0.4432,0.0000,0.0000,0.0000,-0.6310,-0.3890,0.0014,226.8786,-19.7172,-4.1708,39.64475059,-86.82723819,2.84524822,
0.284798,0.1212,0.2003,0.3985,0.0000,0.0000,0.0000,-0.6310,-0.3890,0.0014,226.8786,-19.7172,-4.1708,39.64475059,-86.82723819,2.84524822,
0.285471,0.1212,0.2003,0.3985,0.0000,0.0000,0.0000,-0.6310,-0.3890,0.0014,227.2102,-18.3254,-3.2866,39.64475059,-86.82723819,2.84524822,
0.286042,0.1212,0.2003,0.3985,1.5628,-2.0029,-4.6351,-0.6310,-0.3890,0.0014,227.2102,-18.3254,-3.2866,39.64475059,-86.82723819,2.84524822,
0.303148,0.1215,0.2348,0.4101,1.5628,-2.0029,-4.6351,-0.6310,-0.3890,0.0014,227.2102,-18.3254,-3.2866,39.64475059,-86.82723819,2.84524822,
0.311965,0.1215,0.2348,0.4101,1.5628,-2.0029,-4.6351,-1.0171,-0.5614,-0.2903,227.2102,-18.3254,-3.2866,39.64475059,-86.82723819,2.84524822,
0.321265,0.1307,0.2266,0.5331,1.5628,-2.0029,-4.6351,-1.0171,-0.5614,-0.2903,227.2102,-18.3254,-3.2866,39.64475059,-86.82723819,2.84524822,
0.322303,0.1307,0.2266,0.5331,1.5628,-2.0029,-4.6351,-1.0171,-0.5614,-0.2903,228.1911,-16.1515,-2.3014,39.64475059,-86.82723819,2.84524822,
0.322966,0.1307,0.2266,0.5331,1.7575,-1.5602,-4.2442,-1.0171,-0.5614,-0.2903,228.1911,-16.1515,-2.3014,39.64475059,-86.82723819,2.84524822,
0.339716,0.1650,0.2423,0.5512,1.7575,-1.5602,-4.2442,-1.0171,-0.5614,-0.2903,228.1911,-16.1515,-2.3014,39.64475059,-86.82723819,2.84524822,
0.348538,0.1650,0.2423,0.5512,1.7575,-1.5602,-4.2442,-0.8486,-0.2387,-0.4508,228.1911,-16.1515,-2.3014,39.64475059,-86.82723819,2.84524822,
0.357852,0.2003,0.2618,0.5616,1.7575,-1.5602,-4.2442,-0.8486,-0.2387,-0.4508,228.1911,-16.1515,-2.3014,39.64475059,-86.82723819,2.84524822,
0.358545,0.2003,0.2618,0.5616,1.7575,-1.5602,-4.2442,-0.8486,-0.2387,-0.4508,229.2700,-14.4537,-1.9822,39.64475059,-86.82723819,2.84524822,
0.359115,0.2003,0.2618,0.5616,2.3070,-1.0359,-3.7756,-0.8486,-0.2387,-0.4508,229.2700,-14.4537,-1.9822,39.64475059,-86.82723819,2.84524822,
0.376161,0.2646,0.3302,0.6346,2.3070,-1.0359,-3.7756,-0.8486,-0.2387,-0.4508,229.2700,-14.4537,-1.9822,39.64475059,-86.82723819,2.84524822,
0.384651,0.2646,0.3302,0.6346,2.3070,-1.0359,-3.7756,-0.5756,-0.7479,-0.6330,229.2700,-14.4537,-1.9822,39.64475059,-86.82723819,2.84524822,
0.394076,0.3703,0.4264,0.7202,2.3070,-1.0359,-3.7756,-0.5756,-0.7479,-0.6330,229.2700,-14.4537,-1.9822,39.64475059,-86.82723819,2.84524822,
0.395160,0.3703,0.4264,0.7202,2.3070,-1.0359,-3.7756,-0.5756,-0.7479,-0.6330,231.0466,-13.3293,-0.5962,39.64475059,-86.82723819,2.84524822,
0.395832,0.3703,0.4264,0.7202,3.4595,0.3896,-2.6260,-0.5756,-0.7479,-0.6330,231.0466,-13.3293,-0.5962,39.64475059,-86.82723819,2.84524822,
0.412696,0.5236,0.5688,0.7690,3.4595,0.3896,-2.6260,-0.5756,-0.7479,-0.6330,231.0466,-13.3293,-0.5962,39.64475059,-86.82723819,2.84524822,
0.421435,0.5236,0.5688,0.7690,3.4595,0.3896,-2.6260,-0.8792,-0.9969,-1.2863,231.0466,-13.3293,-0.5962,39.64475059,-86.82723819,2.84524822,
0.431399,0.6403,0.6553,0.9254,3.4595,0.3896,-2.6260,-0.8792,-0.9969,-1.2863,231.0466,-13.3293,-0.5962,39.64475059,-86.82723819,2.84524822,
0.432557,0.6403,0.6553,0.9254,3.4595,0.3896,-2.6260,-0.8792,-0.9969,-1.2863,234.3233,-11.5775,1.0327,39.64475059,-86.82723819,2.84524822,
0.433166,0.6403,0.6553,0.9254,5.6878,2.8194,-1.0104,-0.8792,-0.9969,-1.2863,234.3233,-11.5775,1.0327,39.64475059,-86.82723819,2.84524822,
0.449118,0.6576,0.6841,1.3423,5.6878,2.8194,-1.0104,-0.8792,-0.9969,-1.2863,234.3233,-11.5775,1.0327,39.64475059,-86.82723819,2.84524822,
0.458387,0.6576,0.6841,1.3423,5.6878,2.8194,-1.0104,0.0043,-1.0805,-2.0533,234.3233,-11.5775,1.0327,39.64475059,-86.82723819,2.84524822,
0.494175,0.6576,0.6841,1.3423,5.6878,2.8194,-1.0104,1.2795,-0.0009,-2.3795,234.3233,-11.5775,1.0327,39.64475059,-86.82723819,2.84524822,
0.521872,-0.0228,0.8962,1.9585,5.6878,2.8194,-1.0104,1.2795,-0.0009,-2.3795,234.3233,-11.5775,1.0327,39.64475059,-86.82723819,2.84524822,
0.522938,-0.0228,0.8962,1.9585,5.6878,2.8194,-1.0104,1.2795,-0.0009,-2.3795,245.5588,-15.6703,0.9876,39.64475059,-86.82723819,2.84524822,
0.523471,-0.0228,0.8962,1.9585,0.1479,5.2237,10.0587,1.2795,-0.0009,-2.3795,245.5588,-15.6703,0.9876,39.64475059,-86.82723819,2.84524822,
0.531027,-0.0228,0.8962,1.9585,0.1479,5.2237,10.0587,0.5554,-0.8905,-1.3434,245.5588,-15.6703,0.9876,39.64475059,-86.82723819,2.84524822,
0.540263,0.1749,0.6976,1.9157,0.1479,5.2237,10.0587,0.5554,-0.8905,-1.3434,245.5588,-15.6703,0.9876,39.64475059,-86.82723819,2.84524822,
0.559023,0.3426,0.5540,1.6608,0.1479,5.2237,10.0587,0.5554,-0.8905,-1.3434,245.5588,-15.6703,0.9876,39.64475059,-86.82723819,2.84524822,
0.567557,0.3426,0.5540,1.6608,0.1479,5.2237,10.0587,0.7107,-1.2937,-0.9403,245.5588,-15.6703,0.9876,39.64475059,-86.82723819,2.84524822,
0.576672,0.3255,0.4731,1.5169,0.1479,5.2237,10.0587,0.7107,-1.2937,-0.9403,245.5588,-15.6703,0.9876,39.64475059,-86.82723819,2.84524822,
0.577363,0.3255,0.4731,1.5169,0.1479,5.2237,10.0587,0.7107,-1.2937,-0.9403,249.5787,-17.9162,4.1791,39.64475059,-86.82723819,2.84524822,
0.577936,0.3255,0.4731,1.5169,2.9053,1.2830,6.7805,0.7107,-1.2937,-0.9403,249.5787,-17.9162,4.1791,39.64475059,-86.82723819,2.84524822,
0.595429,0.1881,0.4289,1.4345,2.9053,1.2830,6.7805,0.7107,-1.2937,-0.9403,249.5787,-17.9162,4.1791,39.64475059,-86.82723819,2.84524822,
0.603879,0.1881,0.4289,1.4345,2.9053,1.2830,6.7805,0.8260,-0.0909,-1.4320,249.5787,-17.9162,4.1791,39.64475059,-86.82723819,2.84524822,
0.613423,0.0977,0.3507,1.2182,2.9053,1.2830,6.7805,0.8260,-0.0909,-1.4320,249.5787,-17.9162,4.1791,39.64475059,-86.82723819,2.84524822,
0.614123,0.0977,0.3507,1.2182,2.9053,1.2830,6.7805,0.8260,-0.0909,-1.4320,252.4630,-19.8021,3.0707,39.64475059,-86.82723819,2.84524822,
0.614856,0.0977,0.3507,1.2182,1.6123,-0.2625,4.1335,0.8260,-0.0909,-1.4320,252.4630,-19.8021,3.0707,39.64475059,-86.82723819,2.84524822,
0.631927,0.0744,0.2447,0.9189,1.6123,-0.2625,4.1335,0.8260,-0.0909,-1.4320,252.4630,-19.8021,3.0707,39.64475059,-86.82723819,2.84524822,
0.640343,0.0744,0.2447,0.9189,1.6123,-0.2625,4.1335,0.2039,0.5721,-1.6131,252.4630,-19.8021,3.0707,39.64475059,-86.82723819,2.84524822,
0.649600,0.0563,0.0772,0.8952,1.6123,-0.2625,4.1335,0.2039,0.5721,-1.6131,252.4630,-19.8021,3.0707,39.64475059,-86.82723819,2.84524822,
0.650231,0.0563,0.0772,0.8952,1.6123,-0.2625,4.1335,0.2039,0.5721,-1.6131,255.1957,-20.0244,0.7144,39.64475059,-86.82723819,2.84524822,
0.650679,0.0563,0.0772,0.8952,1.3128,-2.5289,0.6006,0.2039,0.5721,-1.6131,255.1957,-20.0244,0.7144,39.64475059,-86.82723819,2.84524822,
0.668548,-0.0605,-0.0283,1.0910,1.3128,-2.5289,0.6006,0.2039,0.5721,-1.6131,255.1957,-20.0244,0.7144,39.64475059,-86.82723819,2.84524822,
