
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.027488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0334,0.0492,-0.1109,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.036652,-0.1291,0.3803,0.9209,0.0000,0.0000,0.0000,-0.0334,0.0492,-0.1109,0.0000,0.0000,0.0000,39.63217357,-86.83784689,3.39150953,
0.053091,-0.1723,0.3963,0.9104,0.0000,0.0000,0.0000,-0.0334,0.0492,-0.1109,0.0000,0.0000,0.0000,39.63217357,-86.83784689,3.39150953,
0.057500,-0.1723,0.3963,0.9104,0.0000,0.0000,0.0000,0.0929,-0.1513,-0.0312,0.0000,0.0000,0.0000,39.63217357,-86.83784689,3.39150953,
0.072990,-0.1458,0.3958,0.8641,0.0000,0.0000,0.0000,0.0929,-0.1513,-0.0312,0.0000,0.0000,0.0000,39.63217357,-86.83784689,3.39150953,
0.073410,-0.1458,0.3958,0.8641,0.0000,0.0000,0.0000,0.0929,-0.1513,-0.0312,279.3738,-30.4745,-5.8149,39.63217357,-86.83784689,3.39150953,
0.089415,-0.1387,0.4086,0.8535,0.0000,0.0000,0.0000,0.0929,-0.1513,-0.0312,279.3738,-30.4745,-5.8149,39.63217357,-86.83784689,3.39150953,
0.094742,-0.1387,0.4086,0.8535,0.0000,0.0000,0.0000,0.0533,-0.3983,0.0032,279.3738,-30.4745,-5.8149,39.63217357,-86.83784689,3.39150953,
0.108576,-0.1314,0.4057,0.8520,0.0000,0.0000,0.0000,0.0533,-0.3983,0.0032,279.3738,-30.4745,-5.8149,39.63217357,-86.83784689,3.39150953,
0.109325,-0.1314,0.4057,0.8520,0.0000,0.0000,0.0000,0.0533,-0.3983,0.0032,279.8109,-30.4446,-5.0319,39.63217357,-86.83784689,3.39150953,
0.126809,-0.0997,0.3976,0.9025,0.0000,0.0000,0.0000,0.0533,-0.3983,0.0032,279.8109,-30.4446,-5.0319,39.63217357,-86.83784689,3.39150953,
0.130257,-0.0997,0.3976,0.9025,0.0000,0.0000,0.0000,-0.1549,-0.3337,0.0509,279.8109,-30.4446,-5.0319,39.63217357,-86.83784689,3.39150953,
0.145037,-0.1020,0.3905,0.9375,0.0000,0.0000,0.0000,-0.1549,-0.3337,0.0509,279.8109,-30.4446,-5.0319,39.63217357,-86.83784689,3.39150953,
0.146109,-0.1020,0.3905,0.9375,0.0000,0.0000,0.0000,-0.1549,-0.3337,0.0509,280.0076,-30.0523,-4.4778,39.63217357,-86.83784689,3.39150953,
0.163065,-0.1203,0.3946,0.9779,0.0000,0.0000,0.0000,-0.1549,-0.3337,0.0509,280.0076,-30.0523,-4.4778,39.63217357,-86.83784689,3.39150953,
0.166871,-0.1203,0.3946,0.9779,0.0000,0.0000,0.0000,-0.0715,-0.0012,0.0403,280.0076,-30.0523,-4.4778,39.63217357,-86.83784689,3.39150953,
0.181618,-0.1170,0.3896,0.9321,0.0000,0.0000,0.0000,-0.0715,-0.0012,0.0403,280.0076,-30.0523,-4.4778,39.63217357,-86.83784689,3.39150953,
0.182909,-0.1170,0.3896,0.9321,0.0000,0.0000,0.0000,-0.0715,-0.0012,0.0403,279.8584,-30.0249,-4.5848,39.63217357,-86.83784689,3.39150953,
0.199263,-0.1402,0.3990,0.8310,0.0000,0.0000,0.0000,-0.0715,-0.0012,0.0403,279.8584,-30.0249,-4.5848,39.63217357,-86.83784689,3.39150953,
0.203083,-0.1402,0.3990,0.8310,0.0000,0.0000,0.0000,0.0721,0.1089,0.0336,279.8584,-30.0249,-4.5848,39.63217357,-86.83784689,3.39150953,
0.221962,-0.1763,0.4203,0.7603,0.0000,0.0000,0.0000,0.0721,0.1089,0.0336,279.8584,-30.0249,-4.5848,39.63217357,-86.83784689,3.39150953,
0.222955,-0.1763,0.4203,0.7603,0.0000,0.0000,0.0000,0.0721,0.1089,0.0336,279.7222,-30.1161,-4.6569,39.63217357,-86.83784689,3.39150953,
