
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.041592,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0376,-0.0394,0.0301,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.051021,-0.1311,0.2622,0.9412,0.0000,0.0000,0.0000,0.0376,-0.0394,0.0301,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.052024,-0.1311,0.2622,0.9412,0.0000,0.0000,0.0000,-0.0064,-0.0605,0.0153,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.084363,-0.1401,0.2584,0.9400,0.0000,0.0000,0.0000,-0.0064,-0.0605,0.0153,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.088567,-0.1401,0.2584,0.9400,0.0000,0.0000,0.0000,-0.0359,-0.0495,0.0725,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.121376,-0.1049,0.2431,0.9671,0.0000,0.0000,0.0000,-0.0359,-0.0495,0.0725,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.124930,-0.1049,0.2431,0.9671,0.0000,0.0000,0.0000,-0.0084,0.0177,0.0507,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.157224,-0.1132,0.2425,0.9684,0.0000,0.0000,0.0000,-0.0084,0.0177,0.0507,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.161226,-0.1132,0.2425,0.9684,0.0000,0.0000,0.0000,0.0527,0.0218,0.0079,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.194109,-0.1308,0.2517,0.9533,0.0000,0.0000,0.0000,0.0527,0.0218,0.0079,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.197931,-0.1308,0.2517,0.9533,0.0000,0.0000,0.0000,-0.0075,-0.0134,0.0079,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.230503,-0.1365,0.2507,0.9668,0.0000,0.0000,0.0000,-0.0075,-0.0134,0.0079,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.234816,-0.1365,0.2507,0.9668,0.0000,0.0000,0.0000,-0.0021,-0.0287,0.0159,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.268103,-0.1309,0.2506,0.9635,0.0000,0.0000,0.0000,-0.0021,-0.0287,0.0159,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.270980,-0.1309,0.2506,0.9635,0.0000,0.0000,0.0000,0.0260,-0.0142,-0.0015,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.303778,-0.1422,0.2508,0.9582,0.0000,0.0000,0.0000,0.0260,-0.0142,-0.0015,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.305272,-0.1422,0.2508,0.9582,-0.1191,-0.0321,-0.0128,0.0260,-0.0142,-0.0015,0.0000,0.0000,0.0000,39.63220360,-86.83761367,0.00000000,
0.306173,-0.1422,0.2508,0.9582,-0.1191,-0.0321,-0.0128,0.0260,-0.0142,-0.0015,239.2389,-14.8740,-7.3760,39.63220360,-86.83761367,0.00000000,
0.307936,-0.1422,0.2508,0.9582,-0.1191,-0.0321,-0.0128,0.0454,-0.0038,0.0084,239.2389,-14.8740,-7.3760,39.63220360,-86.83761367,0.00000000,
0.340442,-0.1396,0.2566,0.9436,-0.1191,-0.0321,-0.0128,0.0454,-0.0038,0.0084,239.2389,-14.8740,-7.3760,39.63220360,-86.83761367,0.00000000,
0.342349,-0.1396,0.2566,0.9436,-0.1032,0.0182,-0.1556,0.0454,-0.0038,0.0084,239.2389,-14.8740,-7.3760,39.63220360,-86.83761367,0.00000000,
0.343333,-0.1396,0.2566,0.9436,-0.1032,0.0182,-0.1556,0.0454,-0.0038,0.0084,239.2270,-14.9074,-7.3229,39.63220360,-86.83761367,0.00000000,
0.344303,-0.1396,0.2566,0.9436,-0.1032,0.0182,-0.1556,-0.0026,-0.0388,0.0070,239.2270,-14.9074,-7.3229,39.63220360,-86.83761367,0.00000000,
0.377174,-0.1308,0.2527,0.9534,-0.1032,0.0182,-0.1556,-0.0026,-0.0388,0.0070,239.2270,-14.9074,-7.3229,39.63220360,-86.83761367,0.00000000,
0.378779,-0.1308,0.2527,0.9534,-0.0357,-0.0109,-0.0638,-0.0026,-0.0388,0.0070,239.2270,-14.9074,-7.3229,39.63220360,-86.83761367,0.00000000,
0.379612,-0.1308,0.2527,0.9534,-0.0357,-0.0109,-0.0638,-0.0026,-0.0388,0.0070,239.2496,-14.8492,-7.2131,39.63220360,-86.83761367,0.00000000,
0.381871,-0.1308,0.2527,0.9534,-0.0357,-0.0109,-0.0638,-0.0240,-0.0516,0.0063,239.2496,-14.8492,-7.2131,39.63220360,-86.83761367,0.00000000,
0.413384,-0.1223,0.2516,0.9671,-0.0357,-0.0109,-0.0638,-0.0240,-0.0516,0.0063,239.2496,-14.8492,-7.2131,39.63220360,-86.83761367,0.00000000,
0.415063,-0.1223,0.2516,0.9671,0.0278,-0.0204,0.0676,-0.0240,-0.0516,0.0063,239.2496,-14.8492,-7.2131,39.63220360,-86.83761367,0.00000000,
0.416092,-0.1223,0.2516,0.9671,0.0278,-0.0204,0.0676,-0.0240,-0.0516,0.0063,239.2752,-14.8417,-7.0962,39.63220360,-86.83761367,0.00000000,
0.417079,-0.1223,0.2516,0.9671,0.0278,-0.0204,0.0676,0.0076,-0.0638,-0.0044,239.2752,-14.8417,-7.0962,39.63220360,-86.83761367,0.00000000,
0.449485,-0.1229,0.2556,0.9623,0.0278,-0.0204,0.0676,0.0076,-0.0638,-0.0044,239.2752,-14.8417,-7.0962,39.63220360,-86.83761367,0.00000000,
0.451045,-0.1229,0.2556,0.9623,-0.0056,0.0127,0.0181,0.0076,-0.0638,-0.0044,239.2752,-14.8417,-7.0962,39.63220360,-86.83761367,0.00000000,
0.452208,-0.1229,0.2556,0.9623,-0.0056,0.0127,0.0181,0.0076,-0.0638,-0.0044,239.3204,-14.8709,-6.9318,39.63220360,-86.83761367,0.00000000,
0.453656,-0.1229,0.2556,0.9623,-0.0056,0.0127,0.0181,0.0157,-0.0841,0.0049,239.3204,-14.8709,-6.9318,39.63220360,-86.83761367,0.00000000,
0.486187,-0.1071,0.2571,0.9591,-0.0056,0.0127,0.0181,0.0157,-0.0841,0.0049,239.3204,-14.8709,-6.9318,39.63220360,-86.83761367,0.00000000,
0.488034,-0.1071,0.2571,0.9591,0.1237,0.0231,-0.0143,0.0157,-0.0841,0.0049,239.3204,-14.8709,-6.9318,39.63220360,-86.83761367,0.00000000,
0.489495,-0.1071,0.2571,0.9591,0.1237,0.0231,-0.0143,0.0157,-0.0841,0.0049,239.3639,-14.8955,-6.7868,39.63220360,-86.83761367,0.00000000,
0.490993,-0.1071,0.2571,0.9591,0.1237,0.0231,-0.0143,0.0133,-0.0635,-0.0108,239.3639,-14.8955,-6.7868,39.63220360,-86.83761367,0.00000000,
0.522680,-0.1130,0.2574,0.9599,0.1237,0.0231,-0.0143,0.0133,-0.0635,-0.0108,239.3639,-14.8955,-6.7868,39.63220360,-86.83761367,0.00000000,
0.524084,-0.1130,0.2574,0.9599,0.0482,0.0229,-0.0089,0.0133,-0.0635,-0.0108,239.3639,-14.8955,-6.7868,39.63220360,-86.83761367,0.00000000,
0.525271,-0.1130,0.2574,0.9599,0.0482,0.0229,-0.0089,0.0133,-0.0635,-0.0108,239.4463,-14.9119,-6.6783,39.63220360,-86.83761367,0.00000000,
0.526692,-0.1130,0.2574,0.9599,0.0482,0.0229,-0.0089,0.0119,-0.0710,-0.0214,239.4463,-14.9119,-6.6783,39.63220360,-86.83761367,0.00000000,
